epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3424322307109833,0.0010000000474974513,1.6531873941421509,0.4322916567325592,1.2349536418914795
1,0.636157751083374,0.0010000000474974513,0.9026252627372742,0.7881507873535156,0.5490074157714844
2,0.818078875541687,0.0010000000474974513,0.48186153173446655,0.8671454191207886,0.34299027919769287
3,0.8352519273757935,0.0010000000474974513,0.4385336935520172,0.8222621083259583,0.4483492076396942
4,0.8573315739631653,0.0010000000474974513,0.3793002963066101,0.8922800421714783,0.2860337197780609
5,0.8663898706436157,0.0010000000474974513,0.36137858033180237,0.8438060879707336,0.36559098958969116
6,0.876957893371582,0.0010000000474974513,0.32529914379119873,0.8689407706260681,0.3402850329875946
7,0.8911115527153015,0.0010000000474974513,0.2919905483722687,0.8850987553596497,0.2753336429595947
8,0.8860162496566772,0.0010000000474974513,0.2949797213077545,0.8976660966873169,0.2571778893470764
9,0.8962068557739258,0.0010000000474974513,0.2712829113006592,0.8904847502708435,0.26009055972099304
10,0.8977165222167969,0.0010000000474974513,0.265906423330307,0.8815080523490906,0.2872631549835205
11,0.9071522951126099,0.0010000000474974513,0.24476258456707,0.9048473834991455,0.25429806113243103
12,0.9130024313926697,0.0010000000474974513,0.21536080539226532,0.9138240814208984,0.23670773208141327
13,0.91375732421875,0.0010000000474974513,0.2140571027994156,0.8994613885879517,0.29334530234336853
14,0.920551061630249,0.0010000000474974513,0.20653705298900604,0.8797127604484558,0.294704407453537
15,0.9250801801681519,0.0010000000474974513,0.1993277370929718,0.9084380865097046,0.22451017796993256
16,0.9339498281478882,0.0010000000474974513,0.17874597012996674,0.9084380865097046,0.24776750802993774
17,0.9305529594421387,0.0010000000474974513,0.1834997683763504,0.8815080523490906,0.363527774810791
18,0.9431968331336975,0.0010000000474974513,0.15928928554058075,0.8815080523490906,0.32407253980636597
19,0.9677297472953796,0.0002500000118743628,0.09011450409889221,0.9322916865348816,0.1923050433397293
20,0.9711266160011292,0.0002500000118743628,0.07694076001644135,0.92998206615448,0.17623035609722137
21,0.9771655201911926,0.0002500000118743628,0.06903636455535889,0.9389587044715881,0.16958676278591156
22,0.9745234847068787,0.0002500000118743628,0.06533072888851166,0.9245960712432861,0.2171873301267624
23,0.9847140908241272,0.0002500000118743628,0.049628131091594696,0.9192100763320923,0.22667618095874786
24,0.980751097202301,0.0002500000118743628,0.049013495445251465,0.9281867146492004,0.22513447701931
25,0.9843366742134094,6.25000029685907e-05,0.0440349318087101,0.9407540559768677,0.17465440928936005
26,0.9894319772720337,6.25000029685907e-05,0.03667577728629112,0.9371633529663086,0.16527244448661804
27,0.9909417033195496,6.25000029685907e-05,0.02877526357769966,0.9497306942939758,0.16016413271427155
28,0.9911304116249084,6.25000029685907e-05,0.02912699244916439,0.9407540559768677,0.16277942061424255
29,0.9916965365409851,6.25000029685907e-05,0.03061366081237793,0.9389587044715881,0.16076183319091797
30,0.9920739531517029,6.25000029685907e-05,0.025938663631677628,0.9335727095603943,0.23096352815628052
31,0.9928288459777832,1.5625000742147677e-05,0.024660633876919746,0.9389587044715881,0.1762159913778305
32,0.991885244846344,1.5625000742147677e-05,0.025960296392440796,0.9479353427886963,0.17409494519233704
33,0.994527280330658,1.5625000742147677e-05,0.020129088312387466,0.9389587044715881,0.1957121342420578
34,0.9926401376724243,3.906250185536919e-06,0.024417759850621223,0.9317773580551147,0.208086758852005
35,0.9954708218574524,3.906250185536919e-06,0.020842600613832474,0.9281867146492004,0.19707198441028595
36,0.9943385720252991,3.906250185536919e-06,0.02260139025747776,0.9425493478775024,0.1552850604057312
37,0.9916965365409851,3.906250185536919e-06,0.023558571934700012,0.9425493478775024,0.18536165356636047
38,0.9952821135520935,3.906250185536919e-06,0.020417658612132072,0.9322916865348816,0.1933153122663498
39,0.9941498637199402,3.906250185536919e-06,0.01974916271865368,0.9353680610656738,0.18678231537342072
40,0.993206262588501,9.999999974752427e-07,0.023527730256319046,0.9389587044715881,0.1729906052350998
